exec time,2023-09-12-01-23-27.139
no. reads,1000
interval,1
file size,2048
Instant,AMAZONS3
0,2
30,2
60,2
180,2
300,2
600,3
900,10
1800,12
2700,21
3600,290
4500,658
5400,982
6300,993
7200,993
8100,993
9000,993
9900,993
10800,993
11700,993
12600,993
13500,993
14400,993
15300,993
16200,993
17100,993
18000,993
