exec time,2023-09-04-18-30-07.600
no. reads,100
interval,0
file size,1024
Instant,AMAZONS3
0,0
30,0
60,0
180,0
300,0
600,0
900,0
1800,0
2700,1
3600,54
4500,92
5400,100
