Instant,AMAZONS3
0,0
30,0
60,0
180,0
300,0
600,0
900,0
1800,1
2700,1
3600,1
4500,1
5400,1
6300,1
7200,1
8100,1
9000,1
9900,1
10800,1
11700,1
12600,1
13500,1
