exec time,2023-09-09-18-05-08.083
no. reads,1000
interval,10
file size,512
Instant,AMAZONS3
0,0
30,0
60,0
180,0
300,0
600,13
900,124
1800,497
2700,772
3600,772
4500,814
5400,913
6300,998
7200,998
8100,998
9000,998
9900,998
10800,998
11700,998
12600,998
13500,998
14400,998
15300,998
16200,998
17100,998
18000,998
