exec time,2023-09-07-19-02-03.570
no. reads,100
interval,1
file size,512
Instant,AMAZONS3
0,0
30,0
60,0
180,0
300,0
600,0
900,1
1800,14
2700,19
3600,19
4500,28
5400,58
6300,88
7200,100
