exec time,2023-09-06-17-13-04.340
no. reads,1000
interval,1
file size,256
Instant,AMAZONS3
0,5
30,5
60,5
180,20
300,47
600,121
900,181
1800,419
2700,468
3600,471
4500,684
5400,938
6300,1000
