Instant,AMAZONS3
0,0
30,0
60,0
180,0
300,0
600,0
900,0
1800,0
2700,0
3600,0
4500,1
5400,1
6300,1
7200,1
8100,1
9000,1
9900,1
10800,1
11700,1
12600,1
13500,1
14400,1
15300,1
16200,1
