exec time,2023-09-04-23-15-42.178
no. reads,100
interval,1000
file size,2048
Instant,AMAZONS3
0,0
30,0
60,0
180,0
300,0
600,0
900,0
1800,0
2700,0
3600,3
4500,48
5400,81
6300,100
