exec time,2023-09-14-00-38-42.443
no. reads,1000
interval,100
file size,102400
Instant,AMAZONS3
0,0
30,0
60,0
180,0
300,3
600,5
900,5
1800,25
2700,308
3600,795
4500,998
5400,998
6300,998
7200,998
8100,998
9000,998
9900,998
10800,998
