exec time,2023-09-06-03-09-15.602
no. reads,1000
interval,0
file size,256
Instant,AMAZONS3
0,0
30,0
60,0
180,6
300,24
600,117
900,224
1800,530
2700,624
3600,624
4500,752
5400,936
6300,999
7200,999
8100,999
9000,999
9900,999
10800,999
11700,999
12600,999
13500,999
14400,999
15300,999
16200,999
17100,999
18000,999
