Instant,AMAZONS3
0,22
30,27
60,27
180,41
300,71
600,112
900,148
1800,266
2700,284
3600,329
4500,660
5400,951
6300,1000
7200,1000
8100,1000
9000,1000
9900,1000
10800,1000
11700,1000
