exec time,2023-09-05-22-06-00.914
no. reads,1000
interval,1
file size,64
Instant,AMAZONS3
0,0
30,0
60,0
180,0
300,0
600,37
900,152
1800,456
2700,754
3600,754
4500,813
5400,910
6300,998
7200,998
8100,998
9000,998
9900,998
10800,998
11700,998
12600,998
13500,998
14400,998
15300,998
16200,998
17100,998
18000,998
