exec time,2023-09-04-23-19-23.632
no. reads,100
interval,0
file size,102400
Instant,AMAZONS3
0,0
30,0
60,0
180,0
300,0
600,0
900,0
1800,0
2700,0
3600,9
4500,45
5400,85
6300,100
