exec time,2023-09-05-04-12-30.112
no. reads,100
interval,1000
file size,102400
Instant,AMAZONS3
0,0
30,0
60,0
180,0
300,0
600,0
900,0
1800,0
2700,0
3600,26
4500,31
5400,93
6300,100
