Instant,AMAZONS3
0,0
30,0
60,0
180,0
300,0
600,0
900,0
1800,0
2700,0
3600,47
4500,89
5400,100
6300,100
7200,100
8100,100
9000,100
9900,100
10800,100
11700,100
12600,100
13500,100
14400,100
15300,100
16200,100
