exec time,2023-09-12-03-23-00.749
no. reads,1000
interval,1000
file size,2048
Instant,AMAZONS3
0,106
30,107
60,109
180,132
300,161
600,219
900,278
1800,425
2700,430
3600,619
4500,860
5400,1000
