exec time,2023-09-14-01-29-09.132
no. reads,1000
interval,1000
file size,102400
Instant,AMAZONS3
0,145
30,155
60,163
180,190
300,207
600,250
900,309
1800,318
2700,331
3600,632
4500,963
5400,1000
