exec time,2023-09-09-19-12-01.946
no. reads,1000
interval,100
file size,512
Instant,AMAZONS3
0,0
30,4
60,6
180,10
300,55
600,131
900,209
1800,442
2700,504
3600,506
4500,677
5400,915
6300,1000
